Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-05,52.01,52.32,51.775,52.18,5287422.0,0.0,1.0,50.72328872922511,51.025619425361626,50.494102556347435,50.88908298194514,5287422.0
2017-10-04,51.51,52.13,51.4,52.08,8203980.0,0.0,1.0,50.23565857416623,50.84031996643925,50.12837994005328,50.791556950933355,8203980.0
2017-10-03,52.0,52.05,51.4,51.47,8125109.0,0.0,1.0,50.71353612612394,50.762299141629825,50.12837994005328,50.19664816176152,8125109.0
2017-10-02,52.16,52.21,51.66,51.87,7516205.0,0.0,1.0,50.869577775742776,50.91834079124867,50.381947620683896,50.58675228580863,7516205.0
2017-09-29,52.59,52.82,51.76,51.85,12188772.0,0.0,1.0,51.28893970909343,51.513249580420506,50.47947365169567,50.567247079606275,12188772.0
2017-09-28,52.8,53.03,52.33,52.63,11330389.0,0.0,1.0,51.49374437421815,51.71805424554524,51.0353720284628,51.327950121498134,11330389.0
2017-09-27,52.17,52.69,51.03,52.67,36200571.0,0.0,1.0,50.87933037884396,51.386465740105194,49.7675336253097,51.36696053390284,36200571.0
2017-09-26,53.18,53.97,52.98,53.7,16123810.0,0.0,1.0,51.864343292062905,52.63479893705594,51.66929123003935,52.37147865332415,16123810.0
2017-09-25,53.08,53.56,53.0,53.23,12261145.0,0.0,1.0,51.76681726105112,52.23494220990766,51.68879643624171,51.91310630756879,12261145.0
2017-09-22,53.02,53.61,52.8,53.24,10962292.0,0.0,1.0,51.70830164244406,52.28370522541354,51.49374437421815,51.92285891066997,10962292.0
2017-09-21,53.55,53.64,53.09,53.19,8065367.0,0.0,1.0,52.225189606806474,52.31296303471708,51.77656986415231,51.87409589516408,8065367.0
2017-09-20,53.49,53.64,53.04,53.56,7058002.0,0.0,1.0,52.16667398819941,52.31296303471708,51.727806848646416,52.23494220990766,7058002.0
2017-09-19,52.78,54.05,52.51,53.33,14706924.0,0.0,1.0,51.4742391680158,52.71281976186536,51.210918884284,52.01063233858057,14706924.0
2017-09-18,53.87,54.16,53.4,53.5,8166438.0,0.0,1.0,52.53727290604416,52.82009839597831,52.078900560288815,52.17642659130059,8166438.0
2017-09-15,53.86,54.06,53.52,53.87,10046827.0,0.0,1.0,52.52752030294299,52.722572364966545,52.19593179750295,52.53727290604416,10046827.0
2017-09-14,53.54,53.89,53.12,53.73,7496941.0,0.0,1.0,52.2154370037053,52.55677811224652,51.80582767345584,52.40073646262768,7496941.0
2017-09-13,53.45,53.64,53.04,53.52,6085952.0,0.0,1.0,52.127663575794706,52.31296303471708,51.727806848646416,52.19593179750295,6085952.0
2017-09-12,53.77,54.09,53.3,53.4,7823591.0,0.0,1.0,52.43974687503239,52.751830174270076,51.98137452927703,52.078900560288815,7823591.0
2017-09-11,52.38,53.13,52.32,53.03,8649915.0,0.0,1.0,51.08413504396869,51.81558027655702,51.025619425361626,51.71805424554524,8649915.0
2017-09-08,52.25,52.51,52.11,52.2,8563283.0,0.0,1.0,50.95735120365338,51.210918884284,50.82081476023689,50.9085881881475,8563283.0
2017-09-07,52.76,52.85,52.34,52.39,6905712.0,0.0,1.0,51.45473396181344,51.542507389724044,51.04512463156398,51.09388764706987,6905712.0
2017-09-06,53.12,53.34,52.71,52.76,7407562.0,0.0,1.0,51.80582767345584,52.02038494168175,51.405970946307555,51.45473396181344,7407562.0
2017-09-05,53.25,53.47,52.88,53.01,6689126.0,0.0,1.0,51.93261151377115,52.14716878199705,51.571765199027574,51.69854903934288,6689126.0
2017-09-01,53.0,53.45,52.9,53.36,5509805.0,0.0,1.0,51.68879643624171,52.127663575794706,51.59127040522993,52.0398901478841,5509805.0
2017-08-31,52.6,52.98,52.47,52.81,7728916.0,0.18,1.0,51.2986923121946,51.66929123003935,51.171908471879284,51.50349697731933,7728916.0
2017-08-30,52.8,52.96,52.25,52.56,7434491.0,0.0,1.0,51.318826956075874,51.47433855291247,50.784255841950085,51.08555956082099,7434491.0
