Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-11-28,130.29,133.19,130.0,133.01,1821343.0,0.0,1.0,124.51344987005729,127.28487518760404,124.23630733830261,127.11285568513561,1821343.0
2017-11-27,129.78,130.89,129.66,130.48,1349460.0,0.0,1.0,124.0260612797301,125.08684821161867,123.91138161141782,124.69502601155172,1349460.0
2017-11-24,130.03,130.26,129.6,129.83,305358.0,0.0,1.0,124.26497725538069,124.48477995297921,123.85404177726168,124.07384447486024,305358.0
2017-11-22,130.47,130.77,129.72,130.01,779693.0,0.0,1.0,124.6854693725257,124.97216854330642,123.96872144557396,124.24586397732863,779693.0
2017-11-21,130.34,131.03,130.02,130.63,1128605.0,0.0,1.0,124.56123306518741,125.22064115798301,124.25542061635467,124.83837559694207,1128605.0
2017-11-20,129.94,130.221,128.79,129.77,1565634.0,0.0,1.0,124.17896750414647,124.44750906077773,123.07995401615379,124.01650464070408,1565634.0
2017-11-17,130.67,130.79,129.72,129.92,2372061.0,0.0,1.0,124.87660215304616,124.99128182135844,123.96872144557396,124.15985422609441,2372061.0
2017-11-16,133.38,133.56,130.657,130.81,2327360.0,0.0,1.0,127.46645132909848,127.6384708315669,124.86417852231236,125.0103950994105,2327360.0
2017-11-15,133.12,134.1996,132.75,133.71,1837857.0,0.0,1.0,127.21797871442189,128.24971346367136,126.86438307045901,127.78182041695726,1837857.0
2017-11-14,132.85,133.98,131.69,133.86,1812206.0,0.0,1.0,126.95994946071924,128.03984967065986,125.85137933370055,127.92517000234761,1812206.0
2017-11-13,135.16,135.44,133.2,133.32,2742672.0,0.0,1.0,129.16753307573063,129.43511896845928,127.29443182663006,127.40911149494234,2742672.0
2017-11-10,134.01,135.66,133.35,135.54,2107103.0,0.0,1.0,128.06851958773794,129.6453650270318,127.43778141202041,129.5306853587195,2107103.0
2017-11-09,133.12,135.08,132.44,134.53,1255311.0,0.0,1.0,127.21797871442189,129.09107996352245,126.56812726065229,128.56546481709117,1255311.0
2017-11-08,133.88,134.55,133.44,133.52,1477668.0,0.0,1.0,127.94428328039965,128.58457809514323,127.52379116325461,127.60024427546281,1477668.0
2017-11-07,133.98,134.74,133.41,133.72,1495235.0,0.0,1.0,128.03984967065986,128.76615423663765,127.49512124617655,127.79137705598328,1495235.0
2017-11-06,133.55,133.78,132.82,133.44,734987.0,0.0,1.0,127.62891419254089,127.84871689013941,126.93127954364117,127.52379116325461,734987.0
2017-11-03,134.45,134.73,132.87,133.32,1088837.0,0.0,1.0,128.48901170488296,128.7565975976116,126.9790627387713,127.40911149494234,1088837.0
2017-11-02,133.93,135.71,132.96,134.69,2167884.0,0.0,1.0,127.99206647552977,129.6931482221619,127.06507249000552,128.71837104150754,2167884.0
2017-11-01,133.98,134.03,132.63,133.47,1749583.0,0.0,1.0,128.03984967065986,128.08763286579,126.74970340214674,127.55246108033269,1749583.0
2017-10-31,132.48,132.95,132.215,132.45,1499914.0,0.0,1.0,126.60635381675638,127.05551585097948,126.35310288256677,126.5776838996783,1499914.0
2017-10-30,131.09,132.88,130.8,132.62,1579156.0,0.0,1.0,125.27798099213915,126.98861937779732,125.00083846038449,126.74014676312072,1579156.0
2017-10-27,131.55,131.68,130.05,131.06,1602413.0,0.0,1.0,125.71758638733624,125.84182269467453,124.28409053343275,125.24931107506109,1602413.0
2017-10-26,132.72,132.89,130.75,131.94,1490813.0,0.0,1.0,126.83571315338095,126.99817601682334,124.95305526525436,126.09029530935113,1490813.0
2017-10-25,133.38,133.44,131.75,131.795,1383539.0,0.0,1.0,127.46645132909848,127.52379116325461,125.90871916785669,125.95172404347379,1383539.0
2017-10-24,134.04,134.4,132.72,133.19,1712252.0,0.0,1.0,128.09718950481601,128.44122850975288,126.83571315338095,127.28487518760404,1712252.0
2017-10-23,133.73,134.47,132.88,134.45,1790192.0,0.0,1.0,127.80093369500929,128.50812498293502,126.98861937779732,128.48901170488296,1790192.0
2017-10-20,134.0,134.11,132.53,133.32,1838805.0,0.0,1.0,128.05896294871192,128.16408597799818,126.6541370118865,127.40911149494234,1838805.0
2017-10-19,129.78,133.17,128.24,133.17,2970858.0,0.0,1.0,124.0260612797301,127.26576190955198,122.55433886972253,127.26576190955198,2970858.0
2017-10-18,128.7,130.16,128.47,130.02,1991720.0,0.0,1.0,122.99394426491958,124.38921356271898,122.77414156732105,124.25542061635467,1991720.0
2017-10-17,128.44,128.86,127.5,128.65,1808224.0,0.0,1.0,122.74547165024298,123.14685048933597,121.84714758179679,122.94616106978948,1808224.0
2017-10-16,127.33,129.62,126.9,128.82,1765934.0,0.0,1.0,121.6846847183544,123.87315505531373,121.2737492402354,123.10862393323187,1765934.0
2017-10-13,126.16,127.17,125.79,126.67,1087096.0,0.0,1.0,120.56655795230968,121.53177849393803,120.21296230834682,121.05394654263687,1087096.0
2017-10-12,126.02,126.5,125.46,125.95,1022192.0,0.0,1.0,120.43276500594534,120.89148367919447,119.89759322048805,120.36586853276319,1022192.0
2017-10-11,125.64,126.32,125.485,125.61,1059411.0,0.0,1.0,120.06961272295646,120.71946417672605,119.9214848180531,120.0409428058784,1059411.0
2017-10-10,124.88,125.95,124.77,125.94,967885.0,0.0,1.0,119.3433081569787,120.36586853276319,119.23818512769243,120.35631189373716,967885.0
2017-10-09,124.8,125.49,124.35,124.95,723739.0,0.0,1.0,119.26685504477051,119.92626313756611,118.83680628859946,119.41020463016086,723739.0
2017-10-06,124.58,125.36,124.235,125.07,1152158.0,0.0,1.0,119.056608986198,119.80202683022782,118.72690493980019,119.52488429847313,1152158.0
2017-10-05,123.98,124.84,123.701,124.44,1135716.0,0.0,1.0,118.4832106446366,119.3050816008746,118.21658041581054,118.92281603983368,1135716.0
2017-10-04,123.71,124.29,123.28,123.9,836932.0,0.0,1.0,118.22518139093397,118.77946645444332,117.81424591281497,118.40675753242841,836932.0
2017-10-03,123.31,123.73,122.39,123.7,1275588.0,0.0,1.0,117.84291582989304,118.24429466898603,116.9637050394989,118.21562475190795,1275588.0
2017-10-02,122.87,123.47,121.715,123.32,1587243.0,0.0,1.0,117.42242371274803,117.99582205430941,116.31863190524233,117.85247246891906,1587243.0
2017-09-29,122.62,123.2,121.9,122.52,1285833.0,0.0,1.0,117.18350773709744,117.73779280060678,116.49542972722377,117.0879413468372,1285833.0
2017-09-28,122.41,123.26,122.25,122.8,1097060.0,0.0,1.0,116.98281831755095,117.79513263476294,116.82991209313458,117.35552723956586,1097060.0
2017-09-27,123.46,123.46,122.49,122.59,1103429.0,0.0,1.0,117.98626541528338,117.98626541528338,117.05927142975912,117.15483782001937,1103429.0
2017-09-26,122.67,123.49,122.2401,122.57,1298467.0,0.0,1.0,117.23129093222755,118.01493533236146,116.82045102049881,117.1357245419673,1298467.0
2017-09-25,121.96,122.97,121.55,122.67,1136477.0,0.0,1.0,116.55276956137989,117.51799010300824,116.16094736131294,117.23129093222755,1136477.0
2017-09-22,121.49,122.17,121.0501,122.04,1291782.0,0.0,1.0,116.1036075271568,116.7534589809264,115.68321097640204,116.62922267358809,1291782.0
2017-09-21,122.11,122.9,121.13,121.49,1209258.0,0.0,1.0,116.69611914677024,117.45109362982609,115.75956852221996,116.1036075271568,1209258.0
2017-09-20,121.07,121.98,119.9,121.91,1489348.0,0.0,1.0,115.70222868806383,116.57188283943195,114.58410192201912,116.50498636624978,1489348.0
2017-09-19,120.64,121.42,120.46,120.58,1248293.0,0.0,1.0,115.29129320994483,116.03671105397464,115.1192737074764,115.23395337578869,1248293.0
2017-09-18,120.72,121.08,120.13,120.72,1068628.0,0.0,1.0,115.36774632215301,115.71178532708986,114.80390461961764,115.36774632215301,1068628.0
2017-09-15,120.59,121.16,119.48,120.7,3062500.0,0.0,1.0,115.24351001481472,115.78823843929803,114.18272308292613,115.34863304410096,3062500.0
2017-09-14,121.47,121.47,118.75,119.96,1812922.0,0.0,1.0,116.08449424910476,116.08449424910476,113.48508843402642,114.64144175617524,1812922.0
2017-09-13,122.23,122.48,120.79,121.51,1561265.0,0.0,1.0,116.81079881508253,117.04971479073312,115.43464279533518,116.12272080520886,1561265.0
2017-09-12,122.55,123.192,121.32,122.48,1811467.0,0.0,1.0,117.11661126391527,117.73014748938596,115.9411446637144,117.04971479073312,1811467.0
2017-09-11,123.51,126.68,122.37,122.56,3440418.0,0.0,1.0,118.0340486104135,121.0635031816629,116.94459176144686,117.1261679029413,3440418.0
2017-09-08,114.71,120.83,114.48,119.76,4215429.0,0.0,1.0,109.62420626751302,115.47286935143927,109.40440356991449,114.45030897565478,4215429.0
2017-09-07,116.59,116.95,113.76,115.18,2715713.0,0.72,1.0,111.4208544044054,111.76489340934224,108.71632556004081,110.07336830173612,2715713.0
2017-09-06,116.0,118.4,115.45,117.73,3561916.0,0.0,1.0,110.16834100950294,112.44768599590645,109.64599111678547,111.81136885386881,3561916.0
2017-09-05,119.01,119.04,115.21,115.43,3655089.0,0.0,1.0,113.02701951328402,113.05551132561406,109.41805661814512,109.62699657523211,3655089.0
2017-09-01,121.74,121.75,119.67,119.9,1547044.0,0.0,1.0,115.61977443531799,115.62927170609468,113.65383938454498,113.87227661240865,1547044.0
2017-08-31,122.05,122.16,120.16,121.18,2156565.0,0.0,1.0,115.91418982939511,116.01865980793862,114.11920565260236,115.08792727182386,2156565.0
